paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,ramp_duration,ramp_duration_units,ramp_rate_per_day,response_def,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,22,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.267272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.767272727,0.377707165,,0.767272727,0.039998895,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,23,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.197272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.760909091,0.391998011,,0.760909091,0.065452737,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,24,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.267272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.652727273,0.442673593,,0.652727273,0.072725263,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,25,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.324545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.716363636,0.464248017,,0.716363636,0.072725263,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,26,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.254545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.614545455,0.44945981,,0.614545455,0.061816474,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,27,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.286363636,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.627272727,0.514669393,,0.627272727,0.065452737,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,28,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.248181818,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.525454545,0.528971291,,0.525454545,0.116360421,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,28,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.311818182,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.601818182,0.528971291,,0.601818182,0.07999779,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,29,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.184545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.493636364,0.485092979,,0.493636364,0.065452737,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,30,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.273636364,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.576363636,0.521212456,,0.576363636,0.089088447,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,31,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.178181818,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.538181818,0.506424249,,0.538181818,0.070907132,,10
1,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,32,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.203636364,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,6-Apr,0.589090909,0.484363516,,0.589090909,0.087270316,,10
2,jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,33,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.120909091,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,6-Apr,0.041818182,0.455030256,,0.041818182,0.052725816,,10
2,jurriaans2019,jurriaans2019,figure 2b,pop,Acropora,spp,23,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.039819005,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,6-Apr,0.216289593,0.121100917,,0.216289593,0.022018349,,10
2,jurriaans2019,jurriaans2019,figure 2b,pop,Acropora,spp,24,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.054298643,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,6-Apr,0.245248869,0.124770642,,0.245248869,0.023853211,,10
2,jurriaans2019,jurriaans2019,figure 2b,pop,Acropora,spp,25,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.068778281,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,6-Apr,0.266968326,0.12293578,,0.266968326,0.033944954,,10
2,jurriaans2019,jurriaans2019,figure 2b,pop,Acropora,spp,26,C,10,days,0.5,photosynthesis rate,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.054298643,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,6-Apr,0.252488688,0.128440367,,0.252488688,0.029357798,,10
